link,title,text
https://tproger.ru/articles/sozdajom-lokalnyj-videohosting-chast-0-opredeljaemsja-s-pravilami/,Создаём локальный видеохостинг. Часть 0: определяемся с правилами,"Как насчёт того, чтобы создать свой локальный видеохостинг для просмотра видео на разных устройствах? Идея для pet-проекта или курсовой работы."
https://tproger.ru/articles/poslednjaja-versija-jazyka-chto-nuzhno-znat-chtoby-projti-sobesedovanie/,"Последняя версия языка: что нужно знать, чтобы пройти собеседование","Разработчики и авторы курсов в Яндекс.Практикуме рассказывают, когда знание последней версии языка программирования критично, а когда ― нет."
https://tproger.ru/video/video-neobychnyj-python-patterny-prodolzhenie-urok-5/?autoload=1,"Видео: Необычный Python. Паттерны, продолжение. Урок 5",В пятом уроке видеокурса автор продолжает рассказывать о паттернах и показывает реальные примеры их использования.
https://tproger.ru/articles/shpargalka-po-logirovaniju-na-python/,Шпаргалка по логированию на Python,В языке Python основным инструментом для логирования является библиотека logging. Так давайте вместе с IT Resume рассмотрим её подробней.
https://tproger.ru/video/video-neobychnyj-python-interfejsy-i-patterny-urok-4/?autoload=1,Видео: Необычный Python. Интерфейсы и паттерны. Урок 4,В очередном видео автор рассматривает интерфейсы и паттерны Python. Подробное объяснение и демонстрация реальных примеров.
https://tproger.ru/translations/skraping-sajta-s-pomoshhju-python-gajd-dlja-novichkov/,Скрапинг сайта с помощью Python: гайд для новичков,Пишем простой скрапер на Python для сайта с объявлениями о недвижимости. Получаем готовый очищенный готовый к экспорту датасет.
https://tproger.ru/video/video-neobychnyj-python-polimorfizm-inkapsuljacija-i-peregruzka-metodov-urok-3/?autoload=1,"Видео: Необычный Python. Полиморфизм, инкапсуляция и перегрузка методов. Урок 3","Продолжение серии видеоуроков по основам Python, которые помогут вам разработать первое приложение. В третьей части — полиморфизм и инкапсуляция."
https://tproger.ru/articles/sobesedovanie-vs-realnaja-rabota-kakie-navyki-prigodjatsja-nachinajushhim-python-razrabotchikam/,Собеседование VS реальная работа: какие навыки пригодятся начинающим Python-разработчикам,"Какие вопросы могут задать на собеседовании начинающему Python-разработчику и что обязательно повторить, чтобы получить работу."
https://tproger.ru/video/video-neobychnyj-python-cikly-klassy-i-dekoratory-urok-2/?autoload=1,"Видео: Необычный Python. Циклы, классы и декораторы. Урок 2","Продолжение серии уроков, которые помогут создать первое приложение на Python. Во второй части — знакомство с циклами, классами и декораторами."
https://tproger.ru/video/video-osnovy-python-i-razrabotka-pervogo-prilozhenija-s-pomoshhju-fastapi-urok-1/?autoload=1,Видео: основы Python и разработка первого приложения с помощью FastAPI. Урок 1,"Автор объясняет основы Python, различия функционального программирования и ООП, а также показывает, как разработать приложение c помощью FastAPI."
https://tproger.ru/articles/kak-detej-obuchajut-rabote-s-python/,Как детей обучают работе с Python,"Сегодня мы живем в мире, где дети могут научиться программированию в самом раннем возрасте. Кодинг пригодится им на протяжении всей жизни: в детстве он развивает логическое мышление, а с возрастом…"
https://tproger.ru/video/video-razrabotka-mikroservisov-na-python-na-primere-realnogo-proekta/?autoload=1,Видео: разработка микросервисов на Python на примере реального проекта,"Автор рассматривает код проекта с микросервисной архитектурой, разбирает паттерны DTO и Dependency Injector, а также разъясняет принятые решения."
https://tproger.ru/articles/podborka-ide-i-redaktorov-koda-dlja-python/,Подборка IDE и редакторов кода для Python,"Среды разработки и редакторы кода полезны. Пройдёмся по известным IDE и редакторам кода для языка Python, а также разберём их плюсы и минусы"
https://tproger.ru/articles/dajving-v-python-istorija-odnogo-opyta/,Дайвинг в Python: история одного опыта,Рассказ о самостоятельном изучении Python с нуля.
https://tproger.ru/articles/sovety-python-novichkam-ot-sinora/,Советы Python-новичкам от синьора,"Советы и рекомендации по написанию кода и не только, которые могут пригодиться начинающим питонистам."
https://tproger.ru/translations/vzaimodejstvie-python-i-fuguesql-v-jupiter-notebooks/,Взаимодействие Python и FugueSQL в Jupyter Notebooks,"FugueSQL — это язык который расширяет возможности SQL. Рассказываем, как пользоваться FugueSQL в связке с Python и Jupyter Notebooks."
https://tproger.ru/articles/kejs-habib-vs-makgregor-ili-raspoznavanie-lic-na-python/,Кейс: Хабиб vs МакГрегор или Распознавание лиц на Python,"Учимся представлять фотографии в виде матриц, обрабатывать их, детектить лица и натравливать на них нейронку."
https://tproger.ru/articles/moja-istorija-v-it-kak-samostojatelno-izuchit-javascript-i-python-chtoby-osushhestvit-svoju-mechtu/,"Моя история в IT: как самостоятельно изучить JavaScript и Python, чтобы осуществить свою мечту","Из этой статьи вы узнаете, как изучить Python и JavaScript самостоятельно. Личный опыт разработчика, рекомендации книг и онлайн-курсов."
https://tproger.ru/articles/discord-bot-na-python-dlja-avtomatizacii-raboty-s-unity-cloud-build-v-gamedev-komande/,Discord-бот на Python для автоматизации работы с Unity Cloud Build в GameDev команде,Создаём Discord-бот на Python. Он запускает сборку проекта в Unity Cloud Build и создает ссылку на скачивание для QA из внешней команды.
https://tproger.ru/digest/python-biblioteki-kotorye-prigodjatsja-kazhdomu-razrabotchiku-na-python/,"Python-библиотеки, которые пригодятся каждому разработчику на Python","Узнаём у экспертов-питонистов, какие Python-библиотеки они используют и могут посоветовать другим разработчикам."
https://tproger.ru/translations/top-10-python-bibliotek-dlja-data-science/,Топ-10 Python библиотек для Data Science,"Рассказываем, на какие популярные Python библиотеки для Data Science стоит обратить внимание начинающему дата-сайентисту."
https://tproger.ru/articles/nebolshaja-podborka-instrumentov-steka-python/,Небольшая подборка инструментов стека Python,"Шорт-лист инструментов стека Python от технического директора, которые применяются его командой на практике"
https://tproger.ru/translations/desktopnoe-prilozhenie-na-python-ui-i-signaly/,Десктопное приложение на Python: UI и сигналы,"С помощью Python можно создавать современные десктопные приложения. Рассказываем, как сделать графический интерфейс с помощью кода."
https://tproger.ru/translations/python-mozhet-byt-bystree-c/,Увеличиваем скорость работы Python до уровня C++ с Numba,Повышаем скорость работы Python с использованием библиотеки Numba и сравниваем с «плюсами» на примере простенького алгоритма.
https://tproger.ru/articles/sozdajte-svoj-pervyj-ui-test-za-20-minut/,Создайте свой первый UI-тест за 20 минут,Пошаговая инструкция по созданию UI-теста с помощью Python и Selenium.
https://tproger.ru/video/proekty-na-django-dlja-nachinajushhih-dvuhchasovoj-videokurs/?autoload=1,Проекты на Django для начинающих: двухчасовой видеокурс,"Сделайте эти проекты на Django, чтобы познакомиться с самым популярным фреймворком для создания веб-приложений на языке Python."
https://tproger.ru/problems/zadacha-na-sobesedovanii-provesti-prjamuju-cherez-nabor-tochek/,Задача на собеседовании: провести прямую через набор точек,"Ищем наиболее вероятные положения автономного автомобиля, который едет прямо по дороге и отслеживается по GPS."
https://tproger.ru/digest/gde-obshhajutsja-razrabotchiki-russkojazychnye-chaty-programmistov/,Где общаются разработчики: русскоязычные чаты программистов,"Сделали подборку чатов программистов в Slack, Telegram и Gitter."
https://tproger.ru/translations/regular-expression-python/,Регулярные выражения в Python: теория и практика,"Разберём регулярные выражения в Python, их синтаксис, популярные методы специального модуля re, а также попрактикуемся на задачах."
https://tproger.ru/articles/bazovye-znanija-data-science-chto-i-gde-nuzhno-izuchit-novichku/,Базовые знания Data Science: что и где нужно изучить новичку,"Область Data Science сейчас популярна и есть везде. Разбираемся, что нужно знать для минимального входа в эту сферу."
https://tproger.ru/video/data-science-dlja-nachinajushhih-12-proektov-na-python-za-3-chasa/?autoload=1,Data Science для начинающих: 12 проектов на Python за 3 часа,"Если только начинаете путь в Data Science, попробуйте сделать эти проекты для начинающих. Они научат вас собирать и визуализировать данные."
https://tproger.ru/video/veb-skrejping-na-python-zapuskaem-parsing-sajtov-za-1-chas/?autoload=1,Веб-скрейпинг на Python: запускаем парсинг сайтов за 1 час,"Парсинг решает кучу практических задач — например, можно отслеживать скидки и сравнивать цены. Простое решение на Python."
https://tproger.ru/translations/sravnenie-skorosti-python-i-c/,Сравнение скорости Python и C++,"Автор этой статьи делает сравнение скорости выполнения одной и той же программы на Python и C++. С++ естественно быстрее, но насколько?"
https://tproger.ru/video/boty-dlja-discord-na-python-proekt-dlja-nachinajushhih/?autoload=1,Боты для Discord на Python: проект для начинающих,Не нужно ничего устанавливать и платить за размещение. Такие боты для Discord без проблем могут работать в бесплатном «облаке».
https://tproger.ru/articles/battl-jazykov-programmirovanija-2022-zavershilsja/,Баттл языков программирования 2020 завершился!,"Вчера прошел финал баттла языков программирования 2020. И теперь, спустя неделю неожиданных и не очень побед и поражений, мы можем объявить победителей! Python — cамый любимый язык наших читателей. Он…"
https://tproger.ru/articles/final-battla-jazykov-programmirovanija-2020-uzhe-segodnja/,Финал баттла языков программирования 2020 уже сегодня!,По результатам вчерашнего полуфинала образовались две пары финалистов. За первое и второе место поборются: Python и JavaScript. А за третье и четвёртое: Swift и C++. Голосуйте за любимый язык и…
https://tproger.ru/articles/polufinal-bitvy-jazykov-programmirovanija-2020/,Полуфинал битвы языков программирования 2020,"Победителями вчерашней схватки стали JavaScript и Python. В полуфинале участвуют: Swift/JavaScript и C++/Python. Напоминаем, выбирайте тот язык, который вы больше любите.  Ещё чуть-чуть и мы узнаем, кто будет победителем. Голосование…"
https://tproger.ru/articles/shestoj-raund-bitvy-jazykov-programmirovanija-2020-nachalsja/,Шестой раунд битвы языков программирования 2020 начался!,"Вчерашний батл был напряжённым: Swift и Assebmler шли ноздря в ноздрю, но в итоге Swift немного обогнал оппонента. Отрыв между C++ и Java существенно больше, С++ победил! Сегодня участвуют следующие…"
https://tproger.ru/explain/pip-kak-ustanavlivat-pakety-v-python/,Pip: как устанавливать пакеты в Python,"Pip — консольный менеджер пакетов для Python. Рассказываем как его установить, и какие возможности управления пакетами он предоставляет."
https://tproger.ru/articles/sherlock-skript-kotoryj-pomogaet-najti-profili-v-socsetjah-po-imeni-polzovatelja/,"Sherlock — скрипт, который помогает найти профили в соцсетях по имени пользователя","Можно найти пользователя и собрать все его профили в удобный список или проверить, свободно ли имя для регистрации нового аккаунта."
https://tproger.ru/translations/python-sorting/,Всё о сортировке в Python: исчерпывающий гайд,"Сортировка в Python выполняется с помощью sorted() и list.sort(). Разбираем на примерах, как это работает."
https://tproger.ru/articles/tretij-raund-bitvy-jazykov-programmirovanija-2020/,Третий раунд битвы языков программирования 2020!,"По итогам вчерашнего раунда С++ буквально уничтожил Cobol, а Assembler оказался почти в два раза популярнее чем Pascal. Результаты смотрите здесь. Сегодня у нас новые соперники: SQL/TypeScript и Python/Ruby. Вы…"
https://tproger.ru/video/12-proektov-na-python-dlja-novichkov-trjohchasovoj-videokurs/?autoload=1,12 проектов на Python для новичков: трёхчасовой видеокурс,"Попробуйте выполнить все эти проекты на Python, от простых к сложным. Видеокурс с подробным объяснением задач и способов их решения."
https://tproger.ru/articles/primite-uchastie-v-battle-jazykov-programmirovanija-2020-start-uzhe-zavtra/,Примите участие в баттле языков программирования 2020. Старт уже завтра!,"В то время как Java и язык Си меняются местами на вершине рейтинга TIOBE, мы решили выяснить, какие языки программирования, наши подписчики любят больше всего. Завтра начинается баттл языков программирования…"
https://tproger.ru/articles/python-strings-for-interview-part-2/,Работа со строками в Python. Готовимся к собеседованию: примеры задач,"Разбор вопросов и задач по работе со строками, с которыми вы можете столкнуться на собеседовании."
https://tproger.ru/articles/python-cheatsheets/,5 шпаргалок по Python для разных сфер применения,Мы собрали несколько полезных шпаргалок по Python: больше не придётся тратить время на поиск базовой информации.
https://tproger.ru/articles/evennia-library/,Evennia — python библиотека для текстовых онлайн-игр,Evennia помогает создавать многопользовательские текстовые игры в консоли. Помимо движка она содержит базовые игровые классы и модули.
https://tproger.ru/articles/python-typing/,Как работать с типизацией в Python,"Разбор основ типизации кода в Python и её роли в динамически-типизированном языке, который будет наиболее полезен новичкам в Python."
https://tproger.ru/articles/files-in-python/,Основы работы с файлами в Python,Введение в работу с файлами в Python с помощью встроенной функциональности языка.
https://tproger.ru/articles/machine-learning-tools-for-dummies/,Инструменты машинного обучения для начинающих,"Помогаем новичкам разобраться и систематизировать различные инструменты машинного обучения (фреймворки, библиотеки и сервисы)."
https://tproger.ru/articles/python-strings-for-interview-part-1/,Работа со строками в Python. Готовимся к собеседованию: вспоминаем азы,Смотрим на строки в Python глазами интервьюера на собеседовании и разбираем базовые операции.
https://tproger.ru/translations/data-imputation/,"Что делать, если в датасете пропущены данные? — 6 способов импутации данных с примерами","Если в датасете пропущены данные, результаты работы с ним могут быть непредсказуемы. Разбираем способы импутации данных, их плюсы и минусы."
https://tproger.ru/articles/python-vs-r-for-data-science/,Python vs. R: что выбрать для Data Science начинающему специалисту?,"Python и R —два самых популярных языка для Data Science. Какой из них выбрать? Разбираемся в плюсах, минусах и инструментах обоих языков."
https://tproger.ru/articles/python-roadmap/,Программирование на Python с нуля: дорожная карта разработчика,"Как научиться программировать на Python с нуля? Мы составили дорожную карту для быстрого, эффективного и структурированного изучения Python."
https://tproger.ru/translations/create-and-deploy-app-with-pycaret/,Создайте и разверните своё первое веб-приложение для машинного обучения,Создаём с помощью PyCaret приложение для прогнозирования затрат на госпитализацию пациентов на основе разных показателей.
https://tproger.ru/articles/what-junior-python-dev-should-know/,Что работодатели ждут от Junior Python-разработчика,"Из этой статьи вы узнаете, что должен знать начинающий Python-разработчик, а также получите список вопросов, которые стоит повторить."
https://tproger.ru/translations/7-basic-languages-for-backend-development/,8 основных языков для бэкенда,"На чём обычно пишут бэкенд крупные компании? Рассказываем о 8-ми языках для бэкенда, об их плюсах и о компаниях, где их используют."
https://tproger.ru/articles/stored-procedures-on-python-in-postgresql/,Хранимые процедуры на Python в PostgreSQL,"Рассматриваем несколько простых примеров, чтобы научиться работать с хранимыми процедурами PostgreSQL на Python."
https://tproger.ru/quiz/python-quest-kaspersky/,"Решите 8 задач на Python, чтобы встретиться с мамой: тест-квест от Tproger и «Лаборатории Касперского»","Недалёкое будущее, скоро дети будут учить язык программирования как первый. Сможете прожить день из такого будущего, решая задачи с помощью Python и логики?"
https://tproger.ru/translations/3-tools-for-python/,"3 инструмента для Python, которые упростят работу с кодом","Разбор полезных инструментов для Python с функциями умного ИИ автодополнения, статического и динамического анализа кода."
https://tproger.ru/translations/django-react-webapp/,Создаём веб-приложение с бэкендом на Django и фронтендом на React,"Создаём REST API на Django, добавляем React в проект и соединяем Django и React."
https://tproger.ru/articles/best-python-frameworks-for-beginners/,"Лучшие фреймворки Python для веб-разработки, которые подойдут начинающим","Разбираем самые популярные фулстек-фреймворки: их особенности, плюсы и минусы, а также сценарии их применения."
https://tproger.ru/articles/python-for-software-development-and-data-science/,Почему Python хорош для Data Science и разработки приложений,"Рассказываем, в чём преимущества Python перед низкоуровневыми языками и чем он полезен в Data Science."
https://tproger.ru/translations/truthy-and-falsy-values-in-python/,Используем объекты вместо True и False — truthy и falsy значения в Python,"Рассказываем про ложные и истинные значения, что их делает таковыми и как, используя истинные значения, можно сократить код."
https://tproger.ru/articles/classification-with-incorrectly-labeled-data/,"Как специалисту по Data Science написать классификатор, если часть данных неверно размечена","Данные важны для аналитики. Однако если они размечены неверно, от них может быть больше вреда, чем пользы. Разбираемся, как работать с такими данными."
https://tproger.ru/articles/what-python-is-good-for/,Для чего хорош Python?,"О плюсах и минусах Python написано уже немало. Рассказываем, зачем вообще учить этот язык, что вы сможете на нём написать и в каких сферах IT работать."
https://tproger.ru/video/python-best-talks-2019/,Лучшие IT-выступления 2019 по версии Tproger: Python,"Об оптимизации, тестах и опыте — сделали для вас подборку лучших выступлений 2019 о разработке на Python по версии Tproger."
https://tproger.ru/articles/pandas-data-wrangling-cheatsheet/,Наглядная шпаргалка по операциям с DataFrame в pandas для data wrangling и не только,Удобная и наглядная шпаргалка по основным операциям с DataFrame в pandas. Подходит для data wrangling и не только.
https://tproger.ru/video/python-3-video-lessons/?autoload=1,"Python умер, да здравствует Python. Видеокурс по программированию на Python 3",Учимся программировать простые графические приложения на Python 3. Параллельно узнаём о Git и принципах качественного кода.
https://tproger.ru/articles/what-are-python-speed-limits/,Наперегонки со временем: на что способен Python в однопоточных вычислениях?,"Многие знают, что Python в чистом виде — не лучший язык для научных вычислений. Однако никто не мешает провести эксперимент по его ускорению."
https://tproger.ru/translations/data-structure-time-complexity-in-python/,"Сколько стоят операции над list, set и dict в Python? Разбираемся с временной сложностью","Временная сложность алгоритма часто обозначается нотацией «О» большое. Разбираемся, что это и какова сложность операций над коллекциями в Python."
https://tproger.ru/translations/13-python-projects-for-intermediate-developers/,13 проектов для Python-разработчиков среднего уровня,"Часто Python-проекты подходят или новичкам, или опытным разработчикам. Исправляем эту несправедливость и рассказываем о Python-проектах для среднего уровня."
https://tproger.ru/problems/python-3-exercises-for-beginners-geekbrains/,Задачи по Python для начинающих от Tproger и GeekBrains,Для обучения программированию на питоне нужны тренировки. Совместно с GeekBrains собрали для вас несколько простых задач на Python 3 c решениями.
https://tproger.ru/translations/how-to-optimize-jupyter-notebook/,Как оптимизировать работу в Jupyter Notebook,"Оптимизируем работу в Jupyter Notebook с помощью основных команд и расширений и добавляем немного магии, чтобы всё стало ещё быстрее и проще."
https://tproger.ru/translations/guide-into-python-imports/,Как работают импорты в Python,"Импорты не так просты, как кажется. Тем более если они пишутся для двух несовместимых версий языка. Разбираемся с основными проблемами и их решением."
https://tproger.ru/translations/unicode-and-encoding-python-guide/,Исчерпывающее руководство по Юникоду и кодировке символов в Python,"Как работает кодировка символов, что такое Юникод и UTF-8. Рассмотрим способы кодирования и декодирования в Python и распространённые ошибки."
